City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
345,thongwa,16.7619,96.5278,25.09,46,0,1.77,MM,1711935309
346,mangrol,21.1167,70.1167,23.91,71,100,5.15,IN,1711935309
347,prilep,41.3464,21.5544,11.77,62,100,1.37,MK,1711935285
348,rosarito,32.3333,-117.0333,15.23,79,100,6.97,MX,1711935281
349,saldanha,-33.0117,17.9442,14.03,81,0,2.45,ZA,1711935310
350,kavaratti,10.5669,72.642,28.5,68,100,2.56,IN,1711935310
351,walvis bay,-22.9575,14.5053,15.61,94,20,3.78,NA,1711935310
352,mawu,29.5923,107.3139,21.65,72,100,1.29,CN,1711935311
353,taroa,8.7058,171.2275,27.51,79,100,8.66,MH,1711935311
354,tondano,1.3038,124.9112,23.05,82,88,2.56,ID,1711935311
355,hirara,24.8,125.2833,22.92,88,75,5.14,JP,1711935311
356,kattivakkam,13.2167,80.3167,28.05,75,18,2.57,IN,1711935311
357,nemuro,43.3236,145.575,2.19,66,6,1.3,JP,1711935311
358,timimoun,29.2639,0.231,19.21,27,0,4.63,DZ,1711935312
359,bedele,8.456,36.353,15.66,84,96,0.66,ET,1711935312
360,bambanglipuro,-7.95,110.2833,28.65,75,55,4.27,ID,1711935312
361,portland,45.5234,-122.6762,18.32,41,20,4.63,US,1711934886
362,youhao,47.8667,128.8333,-0.02,47,100,4.49,CN,1711935313
